source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_02	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_02	1	25	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_02.raw	1	TMTpro130C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_1ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_1ng	1	26	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_1ng.raw	1	TMTpro131N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_5ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_5ng	1	27	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_5ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_5ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_5ng.raw	1	TMTpro131C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_01	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_01	1	28	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_01.raw	1	TMTpro132N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_1ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_1ng	1	29	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_1ng.raw	1	TMTpro132C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200314_Exploris_RSLC9_Waters_CC_DIA_M3_0c5ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200314_Exploris_RSLC9_Waters_CC_DIA_M3_0c5ng	1	30	20200314_Exploris_RSLC9_Waters_CC_DIA_M3_0c5ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200314_Exploris_RSLC9_Waters_CC_DIA_M3_0c5ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200314_Exploris_RSLC9_Waters_CC_DIA_M3_0c5ng.raw	1	TMTpro133N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200312_Exploris_RSLC9_Waters_CC_DDA_M2_10ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200312_Exploris_RSLC9_Waters_CC_DDA_M2_10ng	1	31	20200312_Exploris_RSLC9_Waters_CC_DDA_M2_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200312_Exploris_RSLC9_Waters_CC_DDA_M2_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200312_Exploris_RSLC9_Waters_CC_DDA_M2_10ng.raw	1	TMTpro133C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200312_Exploris_RSLC9_Waters_CC_DDA_M1_10ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200312_Exploris_RSLC9_Waters_CC_DDA_M1_10ng	1	32	20200312_Exploris_RSLC9_Waters_CC_DDA_M1_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200312_Exploris_RSLC9_Waters_CC_DDA_M1_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200312_Exploris_RSLC9_Waters_CC_DDA_M1_10ng.raw	1	TMTpro134N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_02	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_02	1	33	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_1ng_TKO_02.raw	1	TMTpro126	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_03	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_03	1	34	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_5ng_TKO_03.raw	1	TMTpro127N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200312_Exploris_RSLC9_Waters_CC_DIA_M2_0c5ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200312_Exploris_RSLC9_Waters_CC_DIA_M2_0c5ng	1	35	20200312_Exploris_RSLC9_Waters_CC_DIA_M2_0c5ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200312_Exploris_RSLC9_Waters_CC_DIA_M2_0c5ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200312_Exploris_RSLC9_Waters_CC_DIA_M2_0c5ng.raw	1	TMTpro127C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_10ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_10ng	1	36	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_10ng.raw	1	TMTpro128N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_0c5ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_0c5ng	1	37	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_0c5ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_0c5ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200314_Exploris_RSLC9_Waters_CC_DDA_TKO_0c5ng.raw	1	TMTpro128C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200311_Exploris_RSLC9_Waters_CC_DIA_M2_5ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200311_Exploris_RSLC9_Waters_CC_DIA_M2_5ng	1	38	20200311_Exploris_RSLC9_Waters_CC_DIA_M2_5ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200311_Exploris_RSLC9_Waters_CC_DIA_M2_5ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200311_Exploris_RSLC9_Waters_CC_DIA_M2_5ng.raw	1	TMTpro129N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200314_Exploris_RSLC9_Waters_CC_DDA_M3_10ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200314_Exploris_RSLC9_Waters_CC_DDA_M3_10ng	1	39	20200314_Exploris_RSLC9_Waters_CC_DDA_M3_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200314_Exploris_RSLC9_Waters_CC_DDA_M3_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200314_Exploris_RSLC9_Waters_CC_DDA_M3_10ng.raw	1	TMTpro129C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_0c5ng_TKO_01	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_0c5ng_TKO_01	1	40	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_0c5ng_TKO_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_0c5ng_TKO_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20191115_QExHFX4_RSLC6_uPAC_Ctortecka_Mendjan_IMBA_DIA_0c5ng_TKO_01.raw	1	TMTpro130N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_0c5ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_0c5ng	1	41	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_0c5ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_0c5ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200314_Exploris_RSLC9_Waters_CC_DIA_TKO_0c5ng.raw	1	TMTpro130C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200311_Exploris_RSLC9_Waters_CC_DIA_M2_1ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200311_Exploris_RSLC9_Waters_CC_DIA_M2_1ng	1	42	20200311_Exploris_RSLC9_Waters_CC_DIA_M2_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200311_Exploris_RSLC9_Waters_CC_DIA_M2_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200311_Exploris_RSLC9_Waters_CC_DIA_M2_1ng.raw	1	TMTpro131N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200316_Exploris_RSLC9_Waters_CC_DDA_M3_1ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200316_Exploris_RSLC9_Waters_CC_DDA_M3_1ng	1	43	20200316_Exploris_RSLC9_Waters_CC_DDA_M3_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200316_Exploris_RSLC9_Waters_CC_DDA_M3_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200316_Exploris_RSLC9_Waters_CC_DDA_M3_1ng.raw	1	TMTpro131C	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200312_Exploris_RSLC9_Waters_CC_DIA_M1_0c5ng	Saccharomyces cerevisiae	not available	not available	not available	HeLa; K562	cell	single cell	not applicable	20200312_Exploris_RSLC9_Waters_CC_DIA_M1_0c5ng	1	44	20200312_Exploris_RSLC9_Waters_CC_DIA_M1_0c5ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20200312_Exploris_RSLC9_Waters_CC_DIA_M1_0c5ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD023574/20200312_Exploris_RSLC9_Waters_CC_DIA_M1_0c5ng.raw	1	TMTpro132N	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	10% NCE	not available	not available	not applicable	single cell	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
