source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Chip2_K562HeLa_F11	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F11	1	24	Chip2_K562HeLa_F11	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F11.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip4_A549HFL1_F18	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F18	1	25	Chip4_A549HFL1_F18	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F18.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip4_A549HFL1_F27	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F27	1	26	Chip4_A549HFL1_F27	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F27.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip3_A549HeLa_F25	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip3_A549HeLa_F25	1	27	Chip3_A549HeLa_F25	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip3_A549HeLa_F25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip3_A549HeLa_F25.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip4_A549HFL1_F25	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F25	1	28	Chip4_A549HFL1_F25	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F25.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F16	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F16	1	29	Chip2_K562HeLa_F16	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F16.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F25	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F25	1	30	Chip2_K562HeLa_F25	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F25.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F27	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F27	1	31	Chip2_K562HeLa_F27	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F27.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip1_K562HeLa_F7	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip1_K562HeLa_F7	1	32	Chip1_K562HeLa_F7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip1_K562HeLa_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip1_K562HeLa_F7.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip4_A549HFL1_F14	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F14	1	33	Chip4_A549HFL1_F14	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F14.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip3_A549HeLa_F19	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip3_A549HeLa_F19	1	34	Chip3_A549HeLa_F19	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip3_A549HeLa_F19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip3_A549HeLa_F19.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip3_A549HeLa_F13	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip3_A549HeLa_F13	1	35	Chip3_A549HeLa_F13	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip3_A549HeLa_F13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip3_A549HeLa_F13.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F15	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F15	1	36	Chip2_K562HeLa_F15	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F15.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
10ng_HeLa_L_Iso16_30CountFromKit	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	10ng_HeLa_L_Iso16_30CountFromKit	1	37	10ng_HeLa_L_Iso16_30CountFromKit	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	10ng_HeLa_L_Iso16_30CountFromKit.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/10ng_HeLa_L_Iso16_30CountFromKit.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F4	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F4	1	38	Chip2_K562HeLa_F4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F4.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip3_A549HeLa_F27	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip3_A549HeLa_F27	1	39	Chip3_A549HeLa_F27	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip3_A549HeLa_F27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip3_A549HeLa_F27.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
10ng_A549_H_Iso16_30CountFromKit	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	10ng_A549_H_Iso16_30CountFromKit	1	40	10ng_A549_H_Iso16_30CountFromKit	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	10ng_A549_H_Iso16_30CountFromKit.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/10ng_A549_H_Iso16_30CountFromKit.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip3_A549HeLa_F22	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip3_A549HeLa_F22	1	41	Chip3_A549HeLa_F22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip3_A549HeLa_F22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip3_A549HeLa_F22.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip4_A549HFL1_F22	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F22	1	42	Chip4_A549HFL1_F22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F22.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip3_A549HeLa_F26	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip3_A549HeLa_F26	1	43	Chip3_A549HeLa_F26	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip3_A549HeLa_F26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip3_A549HeLa_F26.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip3_A549HeLa_F2	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip3_A549HeLa_F2	1	44	Chip3_A549HeLa_F2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip3_A549HeLa_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip3_A549HeLa_F2.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip4_A549HFL1_F26	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F26	1	45	Chip4_A549HFL1_F26	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F26.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip4_A549HFL1_F21	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F21	1	46	Chip4_A549HFL1_F21	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F21.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
