source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Single_Hair_Cell_OHSU_1cell_High_030819_R1_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_High_030819_R1_YF30um_350bar	1	21	Single_Hair_Cell_OHSU_1cell_High_030819_R1_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_High_030819_R1_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_High_030819_R1_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
700526_Single_Hair_Cell_OHSU_20cell_High_090618_1_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	700526_Single_Hair_Cell_OHSU_20cell_High_090618_1_30um_031218_300bar	20	22	700526_Single_Hair_Cell_OHSU_20cell_High_090618_1_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	700526_Single_Hair_Cell_OHSU_20cell_High_090618_1_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/700526_Single_Hair_Cell_OHSU_20cell_High_090618_1_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701155_Single_Hair_Cell_OHSU_1cell_High_090618_1_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	701155_Single_Hair_Cell_OHSU_1cell_High_090618_1_30um_031218_300bar	1	23	701155_Single_Hair_Cell_OHSU_1cell_High_090618_1_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701155_Single_Hair_Cell_OHSU_1cell_High_090618_1_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701155_Single_Hair_Cell_OHSU_1cell_High_090618_1_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701282_Single_Hair_Cell_OHSU_3cell_Low_090618_3_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	701282_Single_Hair_Cell_OHSU_3cell_Low_090618_3_30um_031218_300bar	3	24	701282_Single_Hair_Cell_OHSU_3cell_Low_090618_3_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701282_Single_Hair_Cell_OHSU_3cell_Low_090618_3_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701282_Single_Hair_Cell_OHSU_3cell_Low_090618_3_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_Low_030819_R1_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_Low_030819_R1_YF30um_350bar	1	25	Single_Hair_Cell_OHSU_1cell_Low_030819_R1_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_Low_030819_R1_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_Low_030819_R1_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_20cell_High_030819_R2_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	Single_Hair_Cell_OHSU_20cell_High_030819_R2_YF30um_350bar	20	26	Single_Hair_Cell_OHSU_20cell_High_030819_R2_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_20cell_High_030819_R2_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_20cell_High_030819_R2_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
700739_Single_Hair_Cell_OHSU_3cell_High_090618_1_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	700739_Single_Hair_Cell_OHSU_3cell_High_090618_1_30um_031218_300bar	3	27	700739_Single_Hair_Cell_OHSU_3cell_High_090618_1_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	700739_Single_Hair_Cell_OHSU_3cell_High_090618_1_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/700739_Single_Hair_Cell_OHSU_3cell_High_090618_1_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701234_Single_Hair_Cell_OHSU_20cell_Low_090618_4_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	701234_Single_Hair_Cell_OHSU_20cell_Low_090618_4_30um_031218_300bar	20	28	701234_Single_Hair_Cell_OHSU_20cell_Low_090618_4_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701234_Single_Hair_Cell_OHSU_20cell_Low_090618_4_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701234_Single_Hair_Cell_OHSU_20cell_Low_090618_4_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701251_Single_Hair_Cell_OHSU_5cell_Low_090618_2_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	701251_Single_Hair_Cell_OHSU_5cell_Low_090618_2_30um_031218_300bar	5	29	701251_Single_Hair_Cell_OHSU_5cell_Low_090618_2_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701251_Single_Hair_Cell_OHSU_5cell_Low_090618_2_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701251_Single_Hair_Cell_OHSU_5cell_Low_090618_2_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_Low_030819_R3_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_Low_030819_R3_YF30um_350bar	1	30	Single_Hair_Cell_OHSU_1cell_Low_030819_R3_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_Low_030819_R3_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_Low_030819_R3_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701243_Single_Hair_Cell_OHSU_5cell_Low_090618_1_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	701243_Single_Hair_Cell_OHSU_5cell_Low_090618_1_30um_031218_300bar	5	31	701243_Single_Hair_Cell_OHSU_5cell_Low_090618_1_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701243_Single_Hair_Cell_OHSU_5cell_Low_090618_1_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701243_Single_Hair_Cell_OHSU_5cell_Low_090618_1_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701176_Single_Hair_Cell_OHSU_1cell_High_090618_4_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	701176_Single_Hair_Cell_OHSU_1cell_High_090618_4_30um_031218_300bar	1	32	701176_Single_Hair_Cell_OHSU_1cell_High_090618_4_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701176_Single_Hair_Cell_OHSU_1cell_High_090618_4_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701176_Single_Hair_Cell_OHSU_1cell_High_090618_4_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
700750_Single_Hair_Cell_OHSU_3cell_High_090618_3_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	700750_Single_Hair_Cell_OHSU_3cell_High_090618_3_30um_031218_300bar	3	33	700750_Single_Hair_Cell_OHSU_3cell_High_090618_3_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	700750_Single_Hair_Cell_OHSU_3cell_High_090618_3_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/700750_Single_Hair_Cell_OHSU_3cell_High_090618_3_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701199_Single_Hair_Cell_OHSU_20cell_Low_090618_2_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	701199_Single_Hair_Cell_OHSU_20cell_Low_090618_2_30um_031218_300bar	20	34	701199_Single_Hair_Cell_OHSU_20cell_Low_090618_2_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701199_Single_Hair_Cell_OHSU_20cell_Low_090618_2_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701199_Single_Hair_Cell_OHSU_20cell_Low_090618_2_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_High_030819_R8_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_High_030819_R8_YF30um_350bar	1	35	Single_Hair_Cell_OHSU_1cell_High_030819_R8_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_High_030819_R8_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_High_030819_R8_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701377_Single_Hair_Cell_OHSU_1cell_Low_090618_5_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	701377_Single_Hair_Cell_OHSU_1cell_Low_090618_5_30um_031218_300bar	1	36	701377_Single_Hair_Cell_OHSU_1cell_Low_090618_5_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701377_Single_Hair_Cell_OHSU_1cell_Low_090618_5_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701377_Single_Hair_Cell_OHSU_1cell_Low_090618_5_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_Low_030819_R6_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_Low_030819_R6_YF30um_350bar	1	37	Single_Hair_Cell_OHSU_1cell_Low_030819_R6_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_Low_030819_R6_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_Low_030819_R6_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701241_Single_Hair_Cell_OHSU_20cell_Low_090618_5_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	701241_Single_Hair_Cell_OHSU_20cell_Low_090618_5_30um_031218_300bar	20	38	701241_Single_Hair_Cell_OHSU_20cell_Low_090618_5_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701241_Single_Hair_Cell_OHSU_20cell_Low_090618_5_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701241_Single_Hair_Cell_OHSU_20cell_Low_090618_5_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_20cell_Low_030819_R2_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	Single_Hair_Cell_OHSU_20cell_Low_030819_R2_YF30um_350bar	20	39	Single_Hair_Cell_OHSU_20cell_Low_030819_R2_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_20cell_Low_030819_R2_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_20cell_Low_030819_R2_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701157_Single_Hair_Cell_OHSU_1cell_High_090618_2_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	701157_Single_Hair_Cell_OHSU_1cell_High_090618_2_30um_031218_300bar	1	40	701157_Single_Hair_Cell_OHSU_1cell_High_090618_2_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701157_Single_Hair_Cell_OHSU_1cell_High_090618_2_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701157_Single_Hair_Cell_OHSU_1cell_High_090618_2_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
