source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
FL763_20180302_SimonDavis_Ex40_34	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_34	1	25	FL763_20180302_SimonDavis_Ex40_34	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_34.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_35	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_35	1	26	FL763_20180302_SimonDavis_Ex40_35	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_35.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_45	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_45	1	27	FL763_20180302_SimonDavis_Ex40_45	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_45.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_20	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_20	1	28	FL763_20180302_SimonDavis_Ex40_20	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_20.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_25	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_25	1	29	FL763_20180302_SimonDavis_Ex40_25	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_25.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL0476_MSQ1031_20170429_cells200	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL0476_MSQ1031_20170429_cells200	1	30	FL0476_MSQ1031_20170429_cells200	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL0476_MSQ1031_20170429_cells200.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL0476_MSQ1031_20170429_cells200.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_53	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_53	1	31	FL763_20180302_SimonDavis_Ex40_53	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_53.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_53.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_33	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_33	1	32	FL763_20180302_SimonDavis_Ex40_33	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_33.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_3	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_3	1	33	FL763_20180302_SimonDavis_Ex40_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_31	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_31	1	34	FL763_20180302_SimonDavis_Ex40_31	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_31.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_27	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_27	1	35	FL763_20180302_SimonDavis_Ex40_27	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_27.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL813_20180316_SimonDavis_Ex40_Library2	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL813_20180316_SimonDavis_Ex40_Library2	1	36	FL813_20180316_SimonDavis_Ex40_Library2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL813_20180316_SimonDavis_Ex40_Library2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL813_20180316_SimonDavis_Ex40_Library2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_57	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_57	1	37	FL763_20180302_SimonDavis_Ex40_57	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_57.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_29	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_29	1	38	FL763_20180302_SimonDavis_Ex40_29	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_29.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_65	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_65	1	39	FL763_20180302_SimonDavis_Ex40_65	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_65.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_65.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_15	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_15	1	40	FL763_20180302_SimonDavis_Ex40_15	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_15.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL894_MSQ1375_20180618_ConnorScott_Purkinje_2	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL894_MSQ1375_20180618_ConnorScott_Purkinje_2	1	41	FL894_MSQ1375_20180618_ConnorScott_Purkinje_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL894_MSQ1375_20180618_ConnorScott_Purkinje_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL894_MSQ1375_20180618_ConnorScott_Purkinje_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_52	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_52	1	42	FL763_20180302_SimonDavis_Ex40_52	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_52.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_52.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_44	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_44	1	43	FL763_20180302_SimonDavis_Ex40_44	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_44.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_44.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_24	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_24	1	44	FL763_20180302_SimonDavis_Ex40_24	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_24.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_48	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_48	1	45	FL763_20180302_SimonDavis_Ex40_48	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_48.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_48.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_1	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_1	1	46	FL763_20180302_SimonDavis_Ex40_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_7	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_7	1	47	FL763_20180302_SimonDavis_Ex40_7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_5	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_5	1	48	FL763_20180302_SimonDavis_Ex40_5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
