source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep07	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep07	1	21	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep07	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep07.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___18	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___18	1	22	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___18	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___18_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___18_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep01	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep01	1	23	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep01	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep01.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___22	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___22	1	24	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___22_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___22_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___8	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___8	1	25	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___8_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___8_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___13	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___13	1	26	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___13	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___13_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___13_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___28	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___28	1	27	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___28	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___28_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___28_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___25	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___25	1	28	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___25	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___25_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___25_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___23	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___23	1	29	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___23	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___23_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___23_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep30	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep30	1	30	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep30	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep30.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep03	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep03	1	31	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep03	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep03.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___20	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___20	1	32	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___20	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___20_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___20_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep14	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep14	1	33	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep14	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep14.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___5	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___5	1	34	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___5_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___5_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___21	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___21	1	35	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___21	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___21_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___21_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___17	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___17	1	36	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___17	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___17_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___17_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___14	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___14	1	37	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___14	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___14_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___14_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___2	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___2	1	38	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___2_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___2_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___4	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___4	1	39	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___4_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___4_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep18	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep18	1	40	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep18	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep18.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep06	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep06	1	41	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep06	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep06.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
