source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Substrate_comp_Rapid_Method_Polypropylenechip_2a	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_Rapid_Method_Polypropylenechip_2a	1	23	Substrate_comp_Rapid_Method_Polypropylenechip_2a	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Rapid_Method_Polypropylenechip_2a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Rapid_Method_Polypropylenechip_2a.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_TrypsinLysConly_3A4_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_TrypsinLysConly_3A4_channel2	1	24	3_TrypsinLysConly_3A4_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_TrypsinLysConly_3A4_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_TrypsinLysConly_3A4_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DDM_only_1stepmix_2B6_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DDM_only_1stepmix_2B6_channel2	1	25	DDM_only_1stepmix_2B6_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DDM_only_1stepmix_2B6_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DDM_only_1stepmix_2B6_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Rapid_Method_Polypropylenechip_3c	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_Rapid_Method_Polypropylenechip_3c	1	26	Substrate_comp_Rapid_Method_Polypropylenechip_3c	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Rapid_Method_Polypropylenechip_3c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Rapid_Method_Polypropylenechip_3c.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Polypropylene_rapid_10ngQC_2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	bulk control	cellenONE	Polypropylene_rapid_10ngQC_2	not applicable	27	Polypropylene_rapid_10ngQC_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Polypropylene_rapid_10ngQC_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Polypropylene_rapid_10ngQC_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
10ng_QC_5_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	bulk control	cellenONE	10ng_QC_5_channel2	not applicable	28	10ng_QC_5_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	10ng_QC_5_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/10ng_QC_5_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DDM_only_1stepmix_2C7_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DDM_only_1stepmix_2C7_channel2	1	29	DDM_only_1stepmix_2C7_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DDM_only_1stepmix_2C7_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DDM_only_1stepmix_2C7_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Tryp_LysC_only_1stepmix_1B5_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Tryp_LysC_only_1stepmix_1B5_channel1	1	30	Tryp_LysC_only_1stepmix_1B5_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Tryp_LysC_only_1stepmix_1B5_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Tryp_LysC_only_1stepmix_1B5_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_DDM_only_3C6_blank_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	empty	cellenONE	empty	0	31	3_DDM_only_3C6_blank_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_DDM_only_3C6_blank_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_DDM_only_3C6_blank_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Standard_Method_NanoPOTSchip_1b	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	bulk control	cellenONE	Substrate_comp_Standard_Method_NanoPOTSchip_1b	not applicable	32	Substrate_comp_Standard_Method_NanoPOTSchip_1b	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Standard_Method_NanoPOTSchip_1b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Standard_Method_NanoPOTSchip_1b.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_DDM_only_3C7_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_DDM_only_3C7_channel1	1	33	3_DDM_only_3C7_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_DDM_only_3C7_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_DDM_only_3C7_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DDMandDTT_1stepmix_1B10_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DDMandDTT_1stepmix_1B10_channel2	1	34	DDMandDTT_1stepmix_1B10_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DDMandDTT_1stepmix_1B10_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DDMandDTT_1stepmix_1B10_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Tryp_LysC_only_1stepmix_2C5_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Tryp_LysC_only_1stepmix_2C5_channel1	1	35	Tryp_LysC_only_1stepmix_2C5_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Tryp_LysC_only_1stepmix_2C5_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Tryp_LysC_only_1stepmix_2C5_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Standard_Method_NanoPOTSchip_6a	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	bulk control	cellenONE	Substrate_comp_Standard_Method_NanoPOTSchip_6a	not applicable	36	Substrate_comp_Standard_Method_NanoPOTSchip_6a	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Standard_Method_NanoPOTSchip_6a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Standard_Method_NanoPOTSchip_6a.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DDM_only_1stepmix_1B6_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DDM_only_1stepmix_1B6_channel2	1	37	DDM_only_1stepmix_1B6_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DDM_only_1stepmix_1B6_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DDM_only_1stepmix_1B6_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_DDMDTT_3C11_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_DDMDTT_3C11_channel2	1	38	3_DDMDTT_3C11_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_DDMDTT_3C11_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_DDMDTT_3C11_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_DTT_only_3A9_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_DTT_only_3A9_channel2	1	39	3_DTT_only_3A9_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_DTT_only_3A9_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_DTT_only_3A9_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Tryp_LysC_only_1stepmix_1A5_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Tryp_LysC_only_1stepmix_1A5_channel1	1	40	Tryp_LysC_only_1stepmix_1A5_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Tryp_LysC_only_1stepmix_1A5_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Tryp_LysC_only_1stepmix_1A5_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DDM_only_1stepmix_1C7_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DDM_only_1stepmix_1C7_channel2	1	41	DDM_only_1stepmix_1C7_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DDM_only_1stepmix_1C7_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DDM_only_1stepmix_1C7_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_TrypsinLysConly_3C5_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_TrypsinLysConly_3C5_channel2	1	42	3_TrypsinLysConly_3C5_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_TrypsinLysConly_3C5_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_TrypsinLysConly_3C5_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Standard_Method_NanoPOTSchip_5c	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	bulk control	cellenONE	Substrate_comp_Standard_Method_NanoPOTSchip_5c	not applicable	43	Substrate_comp_Standard_Method_NanoPOTSchip_5c	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Standard_Method_NanoPOTSchip_5c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Standard_Method_NanoPOTSchip_5c.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_TrypsinLysConly_3B4_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_TrypsinLysConly_3B4_channel1	1	44	3_TrypsinLysConly_3B4_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_TrypsinLysConly_3B4_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_TrypsinLysConly_3B4_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DTT_only_1stepmix_2B8_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DTT_only_1stepmix_2B8_channel1	1	45	DTT_only_1stepmix_2B8_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DTT_only_1stepmix_2B8_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DTT_only_1stepmix_2B8_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
