source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_2	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_2	not applicable	21	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_1cells_8	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_1cells_8	not applicable	22	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_1cells_8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_1cells_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_1cells_8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_12	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_12	not applicable	23	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_12	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_12.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_1cells_8	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_1cells_8	not applicable	24	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_1cells_8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_1cells_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_1cells_8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_20cells_3	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_20cells_3	not applicable	25	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_20cells_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_20cells_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_Fixed_20cells_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_NotFixed_30min_1cell_12	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_NotFixed_30min_1cell_12	1	26	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_NotFixed_30min_1cell_12	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_NotFixed_30min_1cell_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_NotFixed_30min_1cell_12.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_3	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_3	not applicable	27	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_4	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_4	not applicable	28	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_4	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_4	not applicable	29	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_20cells_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_10	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_10	not applicable	30	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_1	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_1	not applicable	31	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240626_AST5_Evo3_80SPD_IP_SCC25_FIXED_DMSO_OT_3	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	20240626_AST5_Evo3_80SPD_IP_SCC25_FIXED_DMSO_OT_3	1	32	20240626_AST5_Evo3_80SPD_IP_SCC25_FIXED_DMSO_OT_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240626_AST5_Evo3_80SPD_IP_SCC25_FIXED_DMSO_OT_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240626_AST5_Evo3_80SPD_IP_SCC25_FIXED_DMSO_OT_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_11	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_11	not applicable	33	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_11	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_1cells_11.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_6	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_6	not applicable	34	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_NotFixed_1cells_6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_Bulk_2	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_Bulk_2	not applicable	35	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_Bulk_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_Bulk_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_Bulk_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_Fixed_1cells_4	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_Fixed_1cells_4	not applicable	36	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_Fixed_1cells_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_Fixed_1cells_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_Fixed_1cells_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240626_AST5_Evo3_80SPD_IP_SCC25_PBS_DMSO_OT_3	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	20240626_AST5_Evo3_80SPD_IP_SCC25_PBS_DMSO_OT_3	1	37	20240626_AST5_Evo3_80SPD_IP_SCC25_PBS_DMSO_OT_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240626_AST5_Evo3_80SPD_IP_SCC25_PBS_DMSO_OT_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240626_AST5_Evo3_80SPD_IP_SCC25_PBS_DMSO_OT_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_4	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_4	not applicable	38	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_1cells_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_20cells_3	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_20cells_3	not applicable	39	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_20cells_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_20cells_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_5FLU_NotFixed_20cells_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_20cells_1	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_20cells_1	not applicable	40	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_20cells_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_20cells_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_MTX_Fixed_20cells_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_1	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_1	not applicable	41	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD054445/20240208_AST3_Evo10_IO10_IP_QC_HeLa_DMSO_NotFixed_20cells_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1000% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
