source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_53_GD14	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_53_GD14	1	54	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_53_GD14	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_53_GD14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_53_GD14.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_29_GC10	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_29_GC10	1	55	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_29_GC10	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_29_GC10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_29_GC10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_51_RD12	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_51_RD12	1	56	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_51_RD12	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_51_RD12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_51_RD12.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_05_BB6	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_05_BB6	1	57	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_05_BB6	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_05_BB6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_05_BB6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_23_BC4	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_23_BC4	1	58	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_23_BC4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_23_BC4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_23_BC4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_18_RB19	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_18_RB19	1	59	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_18_RB19	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_18_RB19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_18_RB19.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_06_RB7	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_06_RB7	1	60	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_06_RB7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_06_RB7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241103_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW17_sc_06_RB7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_17_GB18	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_17_GB18	1	61	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_17_GB18	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_17_GB18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_17_GB18.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_13_BB14	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_13_BB14	1	62	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_13_BB14	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_13_BB14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_13_BB14.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_49_BD10	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_49_BD10	1	63	20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_49_BD10	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_49_BD10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_49_BD10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241108_Astral1_Neo6_TH050_AU25_trap_RLMrun023_SW9_sc_05_RB6	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241108_Astral1_Neo6_TH050_AU25_trap_RLMrun023_SW9_sc_05_RB6	1	64	20241108_Astral1_Neo6_TH050_AU25_trap_RLMrun023_SW9_sc_05_RB6	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241108_Astral1_Neo6_TH050_AU25_trap_RLMrun023_SW9_sc_05_RB6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241108_Astral1_Neo6_TH050_AU25_trap_RLMrun023_SW9_sc_05_RB6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_27_BC8	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_27_BC8	1	65	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_27_BC8	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_27_BC8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_27_BC8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_07_BB8	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_07_BB8	1	66	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_07_BB8	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_07_BB8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_07_BB8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_26_BC7	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_26_BC7	1	67	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_26_BC7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_26_BC7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241105_Astral1_Neo6_TH050_AU25_trap_BLMrun040to043_SW18_sc_26_BC7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_08_GB9	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_08_GB9	1	68	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_08_GB9	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_08_GB9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_08_GB9.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_10_GB11	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_10_GB11	1	69	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_10_GB11	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_10_GB11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_10_GB11.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_42_BD3	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_42_BD3	1	70	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_42_BD3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_42_BD3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_42_BD3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_36_GC17	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_36_GC17	1	71	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_36_GC17	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_36_GC17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_36_GC17.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_36_BC17	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_36_BC17	1	72	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_36_BC17	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_36_BC17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_36_BC17.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_19_GB20	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_19_GB20	1	73	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_19_GB20	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_19_GB20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241107_Astral1_Neo6_TH050_AU25_trap_RLMrun019_SW5_sc_19_GB20.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_51_BD12	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_51_BD12	1	74	20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_51_BD12	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_51_BD12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241105_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW18_sc_51_BD12.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_16_BB17	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_16_BB17	1	75	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_16_BB17	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_16_BB17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_16_BB17.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_07_GB8	Homo sapiens	Neutrophil	Glioblastoma	not available	not available	not available	not available	not available	Neutrophil	tissue	single cell	FACS	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_07_GB8	1	76	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_07_GB8	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_07_GB8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD061065/20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_07_GB8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
