source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
2020MK006_EVBO_13_01_40X10_30K_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_13_01_40X10_30K_1ug	1	29	2020MK006_EVBO_13_01_40X10_30K_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_13_01_40X10_30K_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_13_01_40X10_30K_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_06_02_40X10_NORMAL_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_06_02_40X10_NORMAL_10ng	1	30	2020MK006_EVBO_06_02_40X10_NORMAL_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_06_02_40X10_NORMAL_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_06_02_40X10_NORMAL_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_07_02_100x4_NORMAL_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_07_02_100x4_NORMAL_10ng	1	31	2020MK006_EVBO_07_02_100x4_NORMAL_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_07_02_100x4_NORMAL_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_07_02_100x4_NORMAL_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_002_01B_40X10_TURBO_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_002_01B_40X10_TURBO_1ng	1	32	2020MK003_EVBO_002_01B_40X10_TURBO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_002_01B_40X10_TURBO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_002_01B_40X10_TURBO_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_001_01C_40X10_30K_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_001_01C_40X10_30K_1ng	1	33	2020MK003_EVBO_001_01C_40X10_30K_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_001_01C_40X10_30K_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_001_01C_40X10_30K_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_008_01_40X10_TURBO_100ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_008_01_40X10_TURBO_100ng	1	34	2020MK003_EVBO_008_01_40X10_TURBO_100ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_008_01_40X10_TURBO_100ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_008_01_40X10_TURBO_100ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_001_03B_40X10_30K_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_001_03B_40X10_30K_1ng	1	35	2020MK003_EVBO_001_03B_40X10_30K_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_001_03B_40X10_30K_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_001_03B_40X10_30K_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_CHARGE_EVBO_040_01_CHARGE_NORMAL_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_CHARGE_EVBO_040_01_CHARGE_NORMAL_1ng	1	36	2020MK003_CHARGE_EVBO_040_01_CHARGE_NORMAL_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_CHARGE_EVBO_040_01_CHARGE_NORMAL_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_CHARGE_EVBO_040_01_CHARGE_NORMAL_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_CHARGE_EVBO_036_02_CHARGE_RAPID_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_CHARGE_EVBO_036_02_CHARGE_RAPID_1ng	1	37	2020MK003_CHARGE_EVBO_036_02_CHARGE_RAPID_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_CHARGE_EVBO_036_02_CHARGE_RAPID_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_CHARGE_EVBO_036_02_CHARGE_RAPID_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_001_02_Dil1_100_DIA_40x10_30K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_001_02_Dil1_100_DIA_40x10_30K	1	38	2020MK002_EVBO_001_02_Dil1_100_DIA_40x10_30K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_001_02_Dil1_100_DIA_40x10_30K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_001_02_Dil1_100_DIA_40x10_30K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_017_02_100X4_RAPID_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_017_02_100X4_RAPID_1ng	1	39	2020MK003_EVBO_017_02_100X4_RAPID_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_017_02_100X4_RAPID_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_017_02_100X4_RAPID_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_002_02B_40X10_TURBO_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_002_02B_40X10_TURBO_1ng	1	40	2020MK003_EVBO_002_02B_40X10_TURBO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_002_02B_40X10_TURBO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_002_02B_40X10_TURBO_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_CHARGE_EVBO_040_03_CHARGE_NORMAL_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_CHARGE_EVBO_040_03_CHARGE_NORMAL_1ng	1	41	2020MK003_CHARGE_EVBO_040_03_CHARGE_NORMAL_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_CHARGE_EVBO_040_03_CHARGE_NORMAL_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_CHARGE_EVBO_040_03_CHARGE_NORMAL_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K	1	42	2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_020_01_100X4_RAPID_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_020_01_100X4_RAPID_1ug	1	43	2020MK003_EVBO_020_01_100X4_RAPID_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_020_01_100X4_RAPID_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_020_01_100X4_RAPID_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_009_04_1ug_DIA_40x10_7-5K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_009_04_1ug_DIA_40x10_7-5K	1	44	2020MK002_EVBO_009_04_1ug_DIA_40x10_7-5K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_009_04_1ug_DIA_40x10_7-5K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_009_04_1ug_DIA_40x10_7-5K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_14_01_40X10_NORMAL_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_14_01_40X10_NORMAL_1ug	1	45	2020MK006_EVBO_14_01_40X10_NORMAL_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_14_01_40X10_NORMAL_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_14_01_40X10_NORMAL_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_CHARGE_EVBO_036_01_CHARGE_RAPID_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_CHARGE_EVBO_036_01_CHARGE_RAPID_1ng	1	46	2020MK003_CHARGE_EVBO_036_01_CHARGE_RAPID_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_CHARGE_EVBO_036_01_CHARGE_RAPID_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_CHARGE_EVBO_036_01_CHARGE_RAPID_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_005_01_Dil1_1000_DIA_40x10_TURBO	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_005_01_Dil1_1000_DIA_40x10_TURBO	1	47	2020MK002_EVBO_005_01_Dil1_1000_DIA_40x10_TURBO	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_005_01_Dil1_1000_DIA_40x10_TURBO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_005_01_Dil1_1000_DIA_40x10_TURBO.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_010_02_100X4_TURBO_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_010_02_100X4_TURBO_1ng	1	48	2020MK003_EVBO_010_02_100X4_TURBO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_010_02_100X4_TURBO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_010_02_100X4_TURBO_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_07_03_100x4_NORMAL_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_07_03_100x4_NORMAL_10ng	1	49	2020MK006_EVBO_07_03_100x4_NORMAL_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_07_03_100x4_NORMAL_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_07_03_100x4_NORMAL_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_06_03_40X10_NORMAL_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_06_03_40X10_NORMAL_10ng	1	50	2020MK006_EVBO_06_03_40X10_NORMAL_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_06_03_40X10_NORMAL_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_06_03_40X10_NORMAL_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_009_03_Dil1_10_DIA_40x10_7-5K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_009_03_Dil1_10_DIA_40x10_7-5K	1	51	2020MK002_EVBO_009_03_Dil1_10_DIA_40x10_7-5K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_009_03_Dil1_10_DIA_40x10_7-5K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_009_03_Dil1_10_DIA_40x10_7-5K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_05_03_40X10_30K_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_05_03_40X10_30K_10ng	1	52	2020MK006_EVBO_05_03_40X10_30K_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_05_03_40X10_30K_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_05_03_40X10_30K_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_14_02_40X10_NORMAL_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_14_02_40X10_NORMAL_1ug	1	53	2020MK006_EVBO_14_02_40X10_NORMAL_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_14_02_40X10_NORMAL_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_14_02_40X10_NORMAL_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_007_01_40X10_TURBO_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_007_01_40X10_TURBO_10ng	1	54	2020MK003_EVBO_007_01_40X10_TURBO_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_007_01_40X10_TURBO_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_007_01_40X10_TURBO_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_026_01_100X4_NORMAL_100ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_026_01_100X4_NORMAL_100ng	1	55	2020MK003_EVBO_026_01_100X4_NORMAL_100ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_026_01_100X4_NORMAL_100ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_026_01_100X4_NORMAL_100ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_016_01_40X10_RAPID_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_016_01_40X10_RAPID_1ug	1	56	2020MK003_EVBO_016_01_40X10_RAPID_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_016_01_40X10_RAPID_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_016_01_40X10_RAPID_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_001_01_Dil1_1000_DIA_40x10_30K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_001_01_Dil1_1000_DIA_40x10_30K	1	57	2020MK002_EVBO_001_01_Dil1_1000_DIA_40x10_30K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_001_01_Dil1_1000_DIA_40x10_30K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_001_01_Dil1_1000_DIA_40x10_30K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
