source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
50umx15cm_SPE50_100nL_8mz_F21	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_F21	1	26	50umx15cm_SPE50_100nL_8mz_F21	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_F21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_F21.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_B14	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_B14	1	27	50umx15cm_SPE50_100nL_8mz_B14	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_B14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_B14.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_E21	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_E21	1	28	50umx15cm_SPE50_100nL_8mz_E21	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_E21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_E21.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_C4	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_C4	1	29	Jurkat_500nL_1ng_CH2_C4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_C4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_C4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH2_F13	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH2_F13	1	30	500nL25ng_CH2_F13	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH2_F13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH2_F13.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_C13	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_C13	1	31	50umx15cm_SPE50_100nL_8mz_C13	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_C13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_C13.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_F8	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_F8	1	32	HeLa_500nL_1ng_CH2_F8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_F8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_G7	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_G7	1	33	HeLa_500nL_1ng_CH2_G7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_G7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_G7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH2_J16	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH2_J16	1	34	500nL1ng_CH2_J16	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH2_J16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH2_J16.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
200nL_CH2_B5	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	200nL_CH2_B5	1	35	200nL_CH2_B5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	200nL_CH2_B5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/200nL_CH2_B5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH2_H11	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH2_H11	1	36	500nL25ng_CH2_H11	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH2_H11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH2_H11.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
QC_10ng_WWA_CH1_BD20_first	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	bulk control	FACS	QC_10ng_WWA_CH1_BD20_first	not applicable	37	QC_10ng_WWA_CH1_BD20_first	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QC_10ng_WWA_CH1_BD20_first.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/QC_10ng_WWA_CH1_BD20_first.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_J3	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_J3	1	38	Jurkat_500nL_1ng_CH2_J3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_J3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_J3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_B3	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_B3	1	39	Jurkat_500nL_1ng_CH2_B3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_B3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_D13	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_D13	1	40	50umx15cm_SPE50_100nL_8mz_D13	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_D13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_D13.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
QC_50ng_WWA_CH1_BA22_third	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	bulk control	FACS	QC_50ng_WWA_CH1_BA22_third	not applicable	41	QC_50ng_WWA_CH1_BA22_third	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QC_50ng_WWA_CH1_BA22_third.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/QC_50ng_WWA_CH1_BA22_third.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH2_G20	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH2_G20	1	42	500nL1ng_CH2_G20	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH2_G20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH2_G20.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_F14	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_F14	1	43	50umx15cm_SPE50_100nL_8mz_F14	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_F14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_F14.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_L10	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_L10	1	44	HeLa_500nL_1ng_CH2_L10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_L10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_L10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH1_K12	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH1_K12	1	45	500nL25ng_CH1_K12	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH1_K12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH1_K12.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_E6	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_E6	1	46	Jurkat_500nL_1ng_CH2_E6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_E6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_E6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_D7	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_D7	1	47	HeLa_500nL_1ng_CH2_D7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_D7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_D7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_C15	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_C15	1	48	50umx15cm_SPE50_100nL_8mz_C15	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_C15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_C15.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH1_G9	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH1_G9	1	49	500nL25ng_CH1_G9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH1_G9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH1_G9.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
200nL_CH1_J7	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	200nL_CH1_J7	1	50	200nL_CH1_J7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	200nL_CH1_J7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/200nL_CH1_J7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_L9	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_L9	1	51	HeLa_500nL_1ng_CH2_L9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_L9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_L9.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
